Key,Value
3,"1. Room
2. Charlotte
3. Paisley
4. Liam

""Hey Liam, what do you do for a living?"""
0,"1. Room
2. Gabriella
3. Savannah
4. Paisley
5. Noah

What type of furniture is in this room?"
1,"1. Room
2. Gabriella
3. Savannah
4. Paisley
5. Noah

What kind of things does Gabriella like to do in her free time?"
2,"1. Room
2. Gabriella
3. Savannah
4. Paisley
5. Noah

What interests does Savannah have?"
3,"1. Room
2. Gabriella
3. Savannah
4. Paisley
5. Noah

What is the most interesting thing Paisley has done recently?"
4,"1. Room
2. Gabriella
3. Savannah
4. Paisley
5. Noah

What would Noah like to do in his spare time?"
0,"1. Room
2. Joseph
3. Hannah
4. Hunter
5. Nathan
6. Nicholas

What type of furniture is in the room?"
1,"1. Room
2. Joseph
3. Hannah
4. Hunter
5. Nathan
6. Nicholas

What is Joseph's favorite hobby?"
2,"1. Room
2. Joseph
3. Hannah
4. Hunter
5. Nathan
6. Nicholas

What does Hannah do for a living?"
3,"1. Room
2. Joseph
3. Hannah
4. Hunter
5. Nathan
6. Nicholas

What hobbies does Hunter enjoy?"
4,"1. Room
2. Joseph
3. Hannah
4. Hunter
5. Nathan
6. Nicholas

What does Nathan do for a living?"
5,"1. Room
2. Joseph
3. Hannah
4. Hunter
5. Nathan
6. Nicholas

What is Nicholas's favorite hobby?"
0,"1. Room
2. Maya
3. Emma
4. Evelyn
5. Anthony

What is the temperature of the room?"
1,"1. Room
2. Maya
3. Emma
4. Evelyn
5. Anthony

Are you related to anyone else here in this room, Maya?"
2,"1. Room
2. Maya
3. Emma
4. Evelyn
5. Anthony

What does Emma do for a living?"
3,"1. Room
2. Maya
3. Emma
4. Evelyn
5. Anthony

What is Evelyn's most treasured possession?"
4,"1. Room
2. Maya
3. Emma
4. Evelyn
5. Anthony

What is Anthony's favorite hobby?"
0,"1. Room
2. Lucas
3. Owen
4. Alexander

What furniture is in the room?"
1,"1. Room
2. Lucas
3. Owen
4. Alexander

What kind of music does Lucas like?"
2,"1. Room
2. Lucas
3. Owen
4. Alexander

What does Owen think about the topic we are discussing?"
3,"1. Room
2. Lucas
3. Owen
4. Alexander

What does Alexander think of the current situation in the room?"
0,"1. Room
2. Chloe
3. Christian

What type of flooring is in the room?"
1,"1. Room
2. Chloe
3. Christian

""What is Chloe's favorite hobby?"""
2,"1. Room
2. Chloe
3. Christian

What has been Christian's favorite subject in school?"
0,"1. Room
2. Lillian
3. Nicholas
4. Paisley

What kind of furniture is in this room?"
1,"1. Room
2. Lillian
3. Nicholas
4. Paisley

What is Lillian's favorite hobby?"
2,"1. Room
2. Lillian
3. Nicholas
4. Paisley

What is Nicholas' favorite hobby?"
3,"1. Room
2. Lillian
3. Nicholas
4. Paisley

What is Paisley's favorite hobby?"
0,"1. Room
2. Olivia
3. Oliver
4. Gabriel
5. Savannah
6. Sophia

What type of flooring does this room have?"
1,"1. Room
2. Olivia
3. Oliver
4. Gabriel
5. Savannah
6. Sophia

What was Olivia's experience like in the room we are in?"
2,"1. Room
2. Olivia
3. Oliver
4. Gabriel
5. Savannah
6. Sophia

What did Oliver think of the discussion we had in the meeting today?"
3,"1. Room
2. Olivia
3. Oliver
4. Gabriel
5. Savannah
6. Sophia

What interests does Gabriel have?"
4,"1. Room
2. Olivia
3. Oliver
4. Gabriel
5. Savannah
6. Sophia

What interests does Savannah have?"
5,"1. Room
2. Olivia
3. Oliver
4. Gabriel
5. Savannah
6. Sophia

What kind of music does Sophia like?"
0,"1. Room
2. Dylan
3. Elijah

What type of lighting does this room have?"
1,"1. Room
2. Dylan
3. Elijah

What is Dylan's favorite type of music?"
2,"1. Room
2. Dylan
3. Elijah

What is Elijah's favorite hobby?"
0,"1. Room
2. Lily
3. Aiden

What color are the walls in the room?"
1,"1. Room
2. Lily
3. Aiden

""What inspired Lily to come to this event today?"""
2,"1. Room
2. Lily
3. Aiden

""What do you think Aiden's favorite type of music is?"""
0,"1. Room
2. Cameron
3. Sophia

What type of lighting is in this room?"
1,"1. Room
2. Cameron
3. Sophia

What type of work does Cameron do?"
2,"1. Room
2. Cameron
3. Sophia

What is your favorite thing about Sophia?"
0,"1. Room
2. Anthony
3. Oliver

What color are the walls?"
1,"1. Room
2. Anthony
3. Oliver

What does Anthony do for a living?"
2,"1. Room
2. Anthony
3. Oliver

What is Oliver's favorite hobby?"
0,"1. Room
2. Maya
3. Jack

What furniture items are in this room?"
1,"1. Room
2. Maya
3. Jack

What does Maya most enjoy doing in her free time?"
2,"1. Room
2. Maya
3. Jack

""What does Jack like to do for fun?"""
0,"1. Room
2. Benjamin
3. Hannah
4. Lily

What color is the carpet?"
1,"1. Room
2. Benjamin
3. Hannah
4. Lily

What does Benjamin do for a living?"
2,"1. Room
2. Benjamin
3. Hannah
4. Lily

What are Hannah's hobbies and interests?"
3,"1. Room
2. Benjamin
3. Hannah
4. Lily

""What is Lily's favorite hobby?"""
0,"1. Room
2. Jackson
3. Elizabeth
4. Chloe
5. Matthew

Is there an outlet nearby that I can use to plug in my laptop?"
1,"1. Room
2. Jackson
3. Elizabeth
4. Chloe
5. Matthew

What type of music does Jackson enjoy listening to?"
2,"1. Room
2. Jackson
3. Elizabeth
4. Chloe
5. Matthew

What type of hobbies does Elizabeth enjoy?"
3,"1. Room
2. Jackson
3. Elizabeth
4. Chloe
5. Matthew

""What is Chloe's favorite hobby?"""
4,"1. Room
2. Jackson
3. Elizabeth
4. Chloe
5. Matthew

Do you know Matthew in this room?"
0,"1. Room
2. Nova
3. Lucas
4. Isaac

What materials are used in the walls of this room?"
1,"1. Room
2. Nova
3. Lucas
4. Isaac

What is Nova's favorite hobby?"
2,"1. Room
2. Nova
3. Lucas
4. Isaac

What does Lucas enjoy doing in his spare time?"
3,"1. Room
2. Nova
3. Lucas
4. Isaac

Do you know Isaac, and what does he do?"
0,"1. Room
2. Joseph
3. Penelope
4. Elijah
5. Luna
6. Aaron

What type of furniture is in this room?"
1,"1. Room
2. Joseph
3. Penelope
4. Elijah
5. Luna
6. Aaron

What does Joseph do for a living?"
2,"1. Room
2. Joseph
3. Penelope
4. Elijah
5. Luna
6. Aaron

What is Penelope’s favorite hobby?"
3,"1. Room
2. Joseph
3. Penelope
4. Elijah
5. Luna
6. Aaron

What does Elijah think about the topic we're discussing?"
4,"1. Room
2. Joseph
3. Penelope
4. Elijah
5. Luna
6. Aaron

What kind of books does Luna like to read?"
5,"1. Room
2. Joseph
3. Penelope
4. Elijah
5. Luna
6. Aaron

What is Aaron's favorite hobby?"
0,"1. Room
2. Adam
3. Victoria
4. Olivia
5. Natalie
6. Chloe

What kind of furniture is in this room?"
1,"1. Room
2. Adam
3. Victoria
4. Olivia
5. Natalie
6. Chloe

What kind of work does Adam do?"
2,"1. Room
2. Adam
3. Victoria
4. Olivia
5. Natalie
6. Chloe

What is Victoria's favorite hobby?"
3,"1. Room
2. Adam
3. Victoria
4. Olivia
5. Natalie
6. Chloe

Do you know Olivia well?"
4,"1. Room
2. Adam
3. Victoria
4. Olivia
5. Natalie
6. Chloe

What is Natalie's favorite hobby?"
5,"1. Room
2. Adam
3. Victoria
4. Olivia
5. Natalie
6. Chloe

What does Chloe think about this topic?"
0,"1. Room
2. Aria
3. Zoe
4. Leah
5. Noah
6. Aurora

Where is the light switch located?"
1,"1. Room
2. Aria
3. Zoe
4. Leah
5. Noah
6. Aurora

What does Aria think of the current topic of conversation?"
2,"1. Room
2. Aria
3. Zoe
4. Leah
5. Noah
6. Aurora

""What would you say is your favorite thing about Zoe?"""
3,"1. Room
2. Aria
3. Zoe
4. Leah
5. Noah
6. Aurora

What does Leah do for a living?"
4,"1. Room
2. Aria
3. Zoe
4. Leah
5. Noah
6. Aurora

What does Noah like to do in his free time?"
5,"1. Room
2. Aria
3. Zoe
4. Leah
5. Noah
6. Aurora

What is Aurora's last name?"
0,"1. Room
2. Harper
3. Sophia
4. Evelyn
5. Luna
6. Ava

What furnishings are in this room?"
1,"1. Room
2. Harper
3. Sophia
4. Evelyn
5. Luna
6. Ava

Do you know Harper personally?"
2,"1. Room
2. Harper
3. Sophia
4. Evelyn
5. Luna
6. Ava

What is Sophia's favorite hobby?"
3,"1. Room
2. Harper
3. Sophia
4. Evelyn
5. Luna
6. Ava

""What is Evelyn's favorite ice cream flavor?"""
4,"1. Room
2. Harper
3. Sophia
4. Evelyn
5. Luna
6. Ava

What is Luna's favourite hobby?"
5,"1. Room
2. Harper
3. Sophia
4. Evelyn
5. Luna
6. Ava

""What is your favorite thing about Ava?"""
0,"1. Room
2. Aria
3. James
4. Levi
5. Mia

What is the size of the room?"
1,"1. Room
2. Aria
3. James
4. Levi
5. Mia

What kind of music does Aria like to listen to?"
2,"1. Room
2. Aria
3. James
4. Levi
5. Mia

What does James do for work?"
3,"1. Room
2. Aria
3. James
4. Levi
5. Mia

What does Levi do for a living?"
4,"1. Room
2. Aria
3. James
4. Levi
5. Mia

What is Mia's favorite subject in school?"
0,"1. Room
2. Tyler
3. Thomas
4. Natalie
5. David

What is the size of the room?"
1,"1. Room
2. Tyler
3. Thomas
4. Natalie
5. David

What is Tyler's favorite hobby?"
2,"1. Room
2. Tyler
3. Thomas
4. Natalie
5. David

""What kind of hobbies does Thomas like to do?"""
3,"1. Room
2. Tyler
3. Thomas
4. Natalie
5. David

What is Natalie's favorite hobby?"
4,"1. Room
2. Tyler
3. Thomas
4. Natalie
5. David

What does David do for work?"
0,"1. Room
2. Samuel
3. Charlotte
4. Benjamin

What is the temperature in the room?"
1,"1. Room
2. Samuel
3. Charlotte
4. Benjamin

What does Samuel do for a living?"
2,"1. Room
2. Samuel
3. Charlotte
4. Benjamin

What is Charlotte's favorite hobby?"
3,"1. Room
2. Samuel
3. Charlotte
4. Benjamin

Where is Benjamin from?"
0,"1. Room
2. Audrey
3. Lily
4. Dylan

What color is the rug in this room?"
1,"1. Room
2. Audrey
3. Lily
4. Dylan

What language is Audrey most comfortable speaking?"
2,"1. Room
2. Audrey
3. Lily
4. Dylan

""What interests does Lily have?"""
3,"1. Room
2. Audrey
3. Lily
4. Dylan

What is Dylan's favorite hobby?"
0,"1. Room
2. Alexander
3. Scarlett
4. Ethan
5. Lucas
6. Lily

What is the square footage of this room?"
1,"1. Room
2. Alexander
3. Scarlett
4. Ethan
5. Lucas
6. Lily

What is Alexander's favorite hobby?"
2,"1. Room
2. Alexander
3. Scarlett
4. Ethan
5. Lucas
6. Lily

What does Scarlett think of the conversation so far?"
3,"1. Room
2. Alexander
3. Scarlett
4. Ethan
5. Lucas
6. Lily

""What do you think about Ethan?"""
4,"1. Room
2. Alexander
3. Scarlett
4. Ethan
5. Lucas
6. Lily

What interests does Lucas have?"
5,"1. Room
2. Alexander
3. Scarlett
4. Ethan
5. Lucas
6. Lily

""What inspired Lily to come to this event today?"""
0,"1. Room
2. Adam
3. Aaron

What type of furniture is in this room?"
1,"1. Room
2. Adam
3. Aaron

What type of things does Adam like to do in his free time?"
2,"1. Room
2. Adam
3. Aaron

What is Aaron's favorite hobby?"
0,"1. Room
2. Hunter
3. Adam
4. Sofia
5. Levi

What décor is on the walls of this room?"
1,"1. Room
2. Hunter
3. Adam
4. Sofia
5. Levi

What do you like to do in your spare time, Hunter?"
2,"1. Room
2. Hunter
3. Adam
4. Sofia
5. Levi

What type of work does Adam do?"
3,"1. Room
2. Hunter
3. Adam
4. Sofia
5. Levi

What interests does Sofia have?"
4,"1. Room
2. Hunter
3. Adam
4. Sofia
5. Levi

What is Levi's favorite hobby?"
0,"1. Room
2. Hannah
3. Ariana

What colors is the carpet in this room?"
1,"1. Room
2. Hannah
3. Ariana

What does Hannah do for a living?"
2,"1. Room
2. Hannah
3. Ariana

What activities is Ariana most interested in?"
0,"1. Room
2. Grace
3. Skylar
4. Nora

What type of lighting does this room have?"
1,"1. Room
2. Grace
3. Skylar
4. Nora

What do you find interesting about Grace?"
2,"1. Room
2. Grace
3. Skylar
4. Nora

Do you know Skylar?"
3,"1. Room
2. Grace
3. Skylar
4. Nora

""What does Nora enjoy doing in her spare time?"""
0,"1. Room
2. Mason
3. Ariana
4. Christopher
5. Sophia

What kind of lights does the room have?"
1,"1. Room
2. Mason
3. Ariana
4. Christopher
5. Sophia

What does Mason think about the current topic of discussion?"
2,"1. Room
2. Mason
3. Ariana
4. Christopher
5. Sophia

What does Ariana think about the discussion we're having?"
3,"1. Room
2. Mason
3. Ariana
4. Christopher
5. Sophia

""What is Christopher's favorite hobby?"""
4,"1. Room
2. Mason
3. Ariana
4. Christopher
5. Sophia

What does Sophia think about the current situation in the room?"
0,"1. Room
2. Dylan
3. Tyler

What color is the carpet?"
1,"1. Room
2. Dylan
3. Tyler

What did Dylan think of the presentation earlier?"
2,"1. Room
2. Dylan
3. Tyler

What is Tyler's favorite hobby?"
0,"1. Room
2. Natalie
3. Samuel

What is the temperature of the room?"
1,"1. Room
2. Natalie
3. Samuel

What is Natalie's favorite hobby?"
2,"1. Room
2. Natalie
3. Samuel

""What is your favorite thing to do, Samuel?"""
0,"1. Room
2. Claire
3. Christian
4. Elijah
5. Maya

What is the furniture arrangement in the room?"
1,"1. Room
2. Claire
3. Christian
4. Elijah
5. Maya

What would you like to know about Claire in this room?"
2,"1. Room
2. Claire
3. Christian
4. Elijah
5. Maya

What are Christian's hobbies and interests?"
3,"1. Room
2. Claire
3. Christian
4. Elijah
5. Maya

""What is Elijah's favorite color?"""
4,"1. Room
2. Claire
3. Christian
4. Elijah
5. Maya

What is your favorite thing about Maya?"
0,"1. Room
2. Charlotte
3. Cameron

What type of furnishings are in the room?"
1,"1. Room
2. Charlotte
3. Cameron

What is Charlotte's favorite hobby?"
2,"1. Room
2. Charlotte
3. Cameron

What type of work does Cameron do?"
0,"1. Room
2. Dylan
3. Layla
4. Ariana
5. Lucas

What items are in the room?"
1,"1. Room
2. Dylan
3. Layla
4. Ariana
5. Lucas

Do you know Dylan well?"
2,"1. Room
2. Dylan
3. Layla
4. Ariana
5. Lucas

What did Layla have for breakfast this morning?"
3,"1. Room
2. Dylan
3. Layla
4. Ariana
5. Lucas

What did Ariana think of the presentation we just saw?"
4,"1. Room
2. Dylan
3. Layla
4. Ariana
5. Lucas

What do you think of Lucas' ideas?"
0,"1. Room
2. Ryan
3. Amelia
4. Daniel
5. Zara
6. Olivia

What is the temperature in the room?"
1,"1. Room
2. Ryan
3. Amelia
4. Daniel
5. Zara
6. Olivia

What does Ryan enjoy doing in his free time?"
2,"1. Room
2. Ryan
3. Amelia
4. Daniel
5. Zara
6. Olivia

What is the name of Amelia's favorite book?"
3,"1. Room
2. Ryan
3. Amelia
4. Daniel
5. Zara
6. Olivia

What is Daniel's favorite hobby?"
4,"1. Room
2. Ryan
3. Amelia
4. Daniel
5. Zara
6. Olivia

What is Zara's favorite hobby?"
5,"1. Room
2. Ryan
3. Amelia
4. Daniel
5. Zara
6. Olivia

What do you think Olivia's favorite hobby is?"
0,"1. Room
2. Aria
3. Mason

What type of lighting is in the room?"
1,"1. Room
2. Aria
3. Mason

""What kind of hobbies does Aria have?"""
2,"1. Room
2. Aria
3. Mason

What does Mason think about the current topic of discussion?"
0,"1. Room
2. Gabriella
3. Hannah
4. Henry

What is the temperature of the room?"
1,"1. Room
2. Gabriella
3. Hannah
4. Henry

What kind of things does Gabriella like to do in her free time?"
2,"1. Room
2. Gabriella
3. Hannah
4. Henry

What type of work does Hannah do?"
3,"1. Room
2. Gabriella
3. Hannah
4. Henry

What is Henry's favorite hobby?"
0,"1. Room
2. Benjamin
3. Owen
4. Emma
5. Adam
6. Evan

What type of decoration is in this room?"
1,"1. Room
2. Benjamin
3. Owen
4. Emma
5. Adam
6. Evan

What is Benjamin's favorite hobby?"
2,"1. Room
2. Benjamin
3. Owen
4. Emma
5. Adam
6. Evan

Where is Owen from?"
3,"1. Room
2. Benjamin
3. Owen
4. Emma
5. Adam
6. Evan

What does Emma do for a living?"
4,"1. Room
2. Benjamin
3. Owen
4. Emma
5. Adam
6. Evan

What is Adam's favourite hobby?"
5,"1. Room
2. Benjamin
3. Owen
4. Emma
5. Adam
6. Evan

What does Evan like to do in his free time?"
0,"1. Room
2. Dylan
3. Matthew

What type of flooring does this room have?"
1,"1. Room
2. Dylan
3. Matthew

Do you know Dylan well?"
2,"1. Room
2. Dylan
3. Matthew

What is Matthew's favorite hobby?"
0,"1. Room
2. Tyler
3. Caleb
4. Logan

Where is the light switch for the ceiling light?"
1,"1. Room
2. Tyler
3. Caleb
4. Logan

What is Tyler's favorite hobby?"
2,"1. Room
2. Tyler
3. Caleb
4. Logan

What do you like to do in your free time, Caleb?"
3,"1. Room
2. Tyler
3. Caleb
4. Logan

Is Logan interested in joining any activities in the room?"
0,"1. Room
2. Scarlett
3. Paisley
4. Nicholas
5. Noah
6. Leah

What is the temperature in the room?"
1,"1. Room
2. Scarlett
3. Paisley
4. Nicholas
5. Noah
6. Leah

What does Scarlett think about the topic that we are discussing?"
2,"1. Room
2. Scarlett
3. Paisley
4. Nicholas
5. Noah
6. Leah

What interests does Paisley have?"
3,"1. Room
2. Scarlett
3. Paisley
4. Nicholas
5. Noah
6. Leah

What does Nicholas like to do in his spare time?"
4,"1. Room
2. Scarlett
3. Paisley
4. Nicholas
5. Noah
6. Leah

What would Noah like to do in his spare time?"
5,"1. Room
2. Scarlett
3. Paisley
4. Nicholas
5. Noah
6. Leah

What is Leah's favorite hobby?"
0,"1. Room
2. Thomas
3. Nathan
4. Hannah
5. Mason
6. Joshua

What color is the paint on the walls?"
1,"1. Room
2. Thomas
3. Nathan
4. Hannah
5. Mason
6. Joshua

What does Thomas do for a living?"
2,"1. Room
2. Thomas
3. Nathan
4. Hannah
5. Mason
6. Joshua

What does Nathan do for a living?"
3,"1. Room
2. Thomas
3. Nathan
4. Hannah
5. Mason
6. Joshua

What does Hannah do for a living?"
4,"1. Room
2. Thomas
3. Nathan
4. Hannah
5. Mason
6. Joshua

What does Mason think about the current topic of discussion?"
5,"1. Room
2. Thomas
3. Nathan
4. Hannah
5. Mason
6. Joshua

""What's your favorite hobby, Joshua?"""
0,"1. Room
2. Stella
3. Hazel
4. Lucas
5. Mia

What are the dimensions of the room?"
1,"1. Room
2. Stella
3. Hazel
4. Lucas
5. Mia

What has Stella been up to lately?"
2,"1. Room
2. Stella
3. Hazel
4. Lucas
5. Mia

What are Hazel's likes and dislikes?"
3,"1. Room
2. Stella
3. Hazel
4. Lucas
5. Mia

Where is Lucas originally from?"
4,"1. Room
2. Stella
3. Hazel
4. Lucas
5. Mia

What is Mia's favorite hobby?"
0,"1. Room
2. Emily
3. Zara
4. David

What is the temperature of the room?"
1,"1. Room
2. Emily
3. Zara
4. David

What brings Emily to this room?"
2,"1. Room
2. Emily
3. Zara
4. David

What is Zara's opinion about the current topic of discussion?"
3,"1. Room
2. Emily
3. Zara
4. David

""What type of work does David do?"""
0,"1. Room
2. Grace
3. Lillian
4. Noah
5. Gabriella
6. Emilia

What color is the carpet?"
1,"1. Room
2. Grace
3. Lillian
4. Noah
5. Gabriella
6. Emilia

What would you say are some of your greatest strengths, Grace?"
2,"1. Room
2. Grace
3. Lillian
4. Noah
5. Gabriella
6. Emilia

Are you related to anyone else in the room, Lillian?"
3,"1. Room
2. Grace
3. Lillian
4. Noah
5. Gabriella
6. Emilia

What is Noah's favorite hobby?"
4,"1. Room
2. Grace
3. Lillian
4. Noah
5. Gabriella
6. Emilia

Do you know how long Gabriella has worked in this room?"
5,"1. Room
2. Grace
3. Lillian
4. Noah
5. Gabriella
6. Emilia

""Hello Emilia, could you tell me a bit about yourself?"""
0,"1. Room
2. William
3. Thomas

What type of lighting does this room have?"
1,"1. Room
2. William
3. Thomas

""What is your favorite thing about William?"""
2,"1. Room
2. William
3. Thomas

What does Thomas do for a living?"
0,"1. Room
2. Lily
3. Alexander
4. Jack

What is the temperature in the room?"
1,"1. Room
2. Lily
3. Alexander
4. Jack

What type of music does Lily enjoy listening to?"
2,"1. Room
2. Lily
3. Alexander
4. Jack

What does Alexander do for a living?"
3,"1. Room
2. Lily
3. Alexander
4. Jack

What is Jack's favorite hobby?"
0,"1. Room
2. Grace
3. Ariana
4. Stella

What is the temperature of the room?"
1,"1. Room
2. Grace
3. Ariana
4. Stella

How long have you known Grace?"
2,"1. Room
2. Grace
3. Ariana
4. Stella

What is Ariana's opinion on the topic we are discussing?"
3,"1. Room
2. Grace
3. Ariana
4. Stella

What are Stella's hobbies?"
0,"1. Room
2. Lucas
3. Amelia
4. Mila
5. Paisley

What color is the carpet/rug in this room?"
1,"1. Room
2. Lucas
3. Amelia
4. Mila
5. Paisley

What do you think of Lucas' ideas?"
2,"1. Room
2. Lucas
3. Amelia
4. Mila
5. Paisley

What is Amelia's favorite hobby?"
3,"1. Room
2. Lucas
3. Amelia
4. Mila
5. Paisley

What is Mila's favorite hobby?"
4,"1. Room
2. Lucas
3. Amelia
4. Mila
5. Paisley

What is Paisley's favorite thing about being in this room?"
0,"1. Room
2. Thomas
3. Evelyn
4. Olivia
5. Nicholas

What type of furniture is in this room?"
1,"1. Room
2. Thomas
3. Evelyn
4. Olivia
5. Nicholas

What is Thomas's favorite hobby?"
2,"1. Room
2. Thomas
3. Evelyn
4. Olivia
5. Nicholas

What is Evelyn's most treasured possession?"
3,"1. Room
2. Thomas
3. Evelyn
4. Olivia
5. Nicholas

Do you know Olivia well?"
4,"1. Room
2. Thomas
3. Evelyn
4. Olivia
5. Nicholas

What is Nicholas' favorite hobby?"
0,"1. Room
2. Liam
3. Claire
4. Chloe
5. Skylar
6. Elizabeth

What type of flooring is in the room?"
1,"1. Room
2. Liam
3. Claire
4. Chloe
5. Skylar
6. Elizabeth

What does Liam do for a living?"
2,"1. Room
2. Liam
3. Claire
4. Chloe
5. Skylar
6. Elizabeth

What does Claire think about the current topic of discussion?"
3,"1. Room
2. Liam
3. Claire
4. Chloe
5. Skylar
6. Elizabeth

What does Chloe think about this topic?"
4,"1. Room
2. Liam
3. Claire
4. Chloe
5. Skylar
6. Elizabeth

What does Skylar do for a living?"
5,"1. Room
2. Liam
3. Claire
4. Chloe
5. Skylar
6. Elizabeth

What do you think Elizabeth's favorite color is?"
0,"1. Room
2. Dylan
3. Matthew
4. Aria

What is the temperature in the room?"
1,"1. Room
2. Dylan
3. Matthew
4. Aria

Do you know Dylan well?"
2,"1. Room
2. Dylan
3. Matthew
4. Aria

What is Matthew's favorite hobby?"
3,"1. Room
2. Dylan
3. Matthew
4. Aria

What is Aria's favorite hobby?"
0,"1. Room
2. Harper
3. Maya
4. Jonathan
5. Elizabeth
6. Ella

What color is the carpet in this room?"
1,"1. Room
2. Harper
3. Maya
4. Jonathan
5. Elizabeth
6. Ella

What is Harper's favorite hobby?"
2,"1. Room
2. Harper
3. Maya
4. Jonathan
5. Elizabeth
6. Ella

What hobbies does Maya enjoy?"
3,"1. Room
2. Harper
3. Maya
4. Jonathan
5. Elizabeth
6. Ella

What is Jonathan's favorite hobby?"
4,"1. Room
2. Harper
3. Maya
4. Jonathan
5. Elizabeth
6. Ella

What is Elizabeth's favorite hobby?"
5,"1. Room
2. Harper
3. Maya
4. Jonathan
5. Elizabeth
6. Ella

What is Ella's favorite thing to do in her free time?"
0,"1. Room
2. Hannah
3. Jack

What is the air temperature in this room?"
1,"1. Room
2. Hannah
3. Jack

What are Hannah's hobbies?"
2,"1. Room
2. Hannah
3. Jack

“What is Jack's favorite hobby?”"
0,"1. Room
2. Emilia
3. Thomas
4. Scarlett
5. Isaac

What is the temperature in the room?"
1,"1. Room
2. Emilia
3. Thomas
4. Scarlett
5. Isaac

What kind of interests does Emilia have?"
2,"1. Room
2. Emilia
3. Thomas
4. Scarlett
5. Isaac

What does Thomas do for a living?"
3,"1. Room
2. Emilia
3. Thomas
4. Scarlett
5. Isaac

How long have you known Scarlett?"
4,"1. Room
2. Emilia
3. Thomas
4. Scarlett
5. Isaac

What is Isaac's favorite hobby?"
0,"1. Room
2. Emilia
3. Ryan
4. Elijah

What are the dimensions of the room?"
1,"1. Room
2. Emilia
3. Ryan
4. Elijah

What is Emilia's favorite color?"
2,"1. Room
2. Emilia
3. Ryan
4. Elijah

What does Ryan do for a living?"
3,"1. Room
2. Emilia
3. Ryan
4. Elijah

What does Elijah do for a living?"
0,"1. Room
2. Daniel
3. Ellie
4. Liam
5. Aria

What is the temperature of the room?"
1,"1. Room
2. Daniel
3. Ellie
4. Liam
5. Aria

What type of work does Daniel do?"
2,"1. Room
2. Daniel
3. Ellie
4. Liam
5. Aria

""What are your thoughts on the current discussions that are going on in the room, Ellie?"""
3,"1. Room
2. Daniel
3. Ellie
4. Liam
5. Aria

What type of music does Liam like to listen to?"
4,"1. Room
2. Daniel
3. Ellie
4. Liam
5. Aria

What brings Aria here today?"
0,"1. Room
2. Gabriella
3. Avery
4. Savannah

What color is the carpet?"
1,"1. Room
2. Gabriella
3. Avery
4. Savannah

What kind of things does Gabriella like to do in her free time?"
2,"1. Room
2. Gabriella
3. Avery
4. Savannah

What does Avery like to do in her spare time?"
3,"1. Room
2. Gabriella
3. Avery
4. Savannah

What interests does Savannah have?"
0,"1. Room
2. Ryan
3. Emilia
4. Aiden
5. James

What color is the carpet in the room?"
1,"1. Room
2. Ryan
3. Emilia
4. Aiden
5. James

What is Ryan's favorite hobby?"
2,"1. Room
2. Ryan
3. Emilia
4. Aiden
5. James

What kind of interests does Emilia have?"
3,"1. Room
2. Ryan
3. Emilia
4. Aiden
5. James

What hobbies does Aiden enjoy?"
4,"1. Room
2. Ryan
3. Emilia
4. Aiden
5. James

What is James's favorite hobby?"
0,"1. Room
2. Connor
3. Charlotte
4. Andrew
5. Christian

What type of lighting is used in this room?"
1,"1. Room
2. Connor
3. Charlotte
4. Andrew
5. Christian

What is Connor's favorite hobby?"
2,"1. Room
2. Connor
3. Charlotte
4. Andrew
5. Christian

What is Charlotte's favorite hobby?"
3,"1. Room
2. Connor
3. Charlotte
4. Andrew
5. Christian

What did Andrew think of the presentation we just heard?"
4,"1. Room
2. Connor
3. Charlotte
4. Andrew
5. Christian

What has been Christian's favorite subject in school?"
0,"1. Room
2. Ella
3. Emily

What items are in the room?"
1,"1. Room
2. Ella
3. Emily

What does Ella think about the current topic of discussion?"
2,"1. Room
2. Ella
3. Emily

What ice cream flavor does Emily like the most?"
0,"1. Room
2. Claire
3. Ella

What is the square footage of this room?"
1,"1. Room
2. Claire
3. Ella

What is Claire's favorite hobby?"
2,"1. Room
2. Claire
3. Ella

What is Ella's favorite activity?"
0,"1. Room
2. Ellie
3. Jackson

What is the temperature of the room?"
1,"1. Room
2. Ellie
3. Jackson

What is Ellie's favorite hobby?"
2,"1. Room
2. Ellie
3. Jackson

How is Jackson feeling today?"
0,"1. Room
2. Paisley
3. Victoria
4. Hunter

What type of flooring is in this room?"
1,"1. Room
2. Paisley
3. Victoria
4. Hunter

What is Paisley's favorite thing to do in this room?"
2,"1. Room
2. Paisley
3. Victoria
4. Hunter

What do you think Victoria's favorite subject in school is?"
3,"1. Room
2. Paisley
3. Victoria
4. Hunter

What do you like to do in your spare time, Hunter?"
0,"1. Room
2. Gabriel
3. Samuel
4. Emilia
5. Hannah

What type of lighting does the room have?"
1,"1. Room
2. Gabriel
3. Samuel
4. Emilia
5. Hannah

What does Gabriel do for a living?"
2,"1. Room
2. Gabriel
3. Samuel
4. Emilia
5. Hannah

What is Samuel's background?"
3,"1. Room
2. Gabriel
3. Samuel
4. Emilia
5. Hannah

""Hello Emilia, could you tell me a bit about yourself?"""
4,"1. Room
2. Gabriel
3. Samuel
4. Emilia
5. Hannah

What is Hannah's favorite hobby?"
0,"1. Room
2. Zara
3. Emily
4. Mia

What type of window treatments are in this room?"
1,"1. Room
2. Zara
3. Emily
4. Mia

What is Zara's opinion about the current topic of discussion?"
